,title,source,Category,author,url,published
40,"With Jews largely gone from Iraq, memories survive in Israel",ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/qk0Rouwevzo/with-jews-largely-gone-from-iraq-memories-survive-in-israel-idUSKBN1HP1ID,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=3, tm_sec=2, tm_wday=2, tm_yday=108, tm_isdst=0)"
41,Italy Senate chief gets mission (almost) impossible to form government,ReutersWorldNews,World,None,http://feeds.reuters.com/~r/Reuters/worldNews/~3/WkVsOWWGiQY/italy-senate-chief-gets-mission-impossible-to-form-government-idUSKBN1HP1R4,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=43, tm_sec=52, tm_wday=2, tm_yday=108, tm_isdst=0)"
42,Windrush: PM says landing cards decision taken under Labour,BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-politics-43806710,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=12, tm_sec=16, tm_wday=2, tm_yday=108, tm_isdst=0)"
43,Prime Minister's Questions: The key bits and the verdict,BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-politics-43809759,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=37, tm_sec=55, tm_wday=2, tm_yday=108, tm_isdst=0)"
44,TalkSport take overseas cricket rights from BBC,BBCUKNews,News,None,http://www.bbc.co.uk/news/entertainment-arts-43807117,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=21, tm_sec=32, tm_wday=2, tm_yday=108, tm_isdst=0)"
45,Alfie Evans: Father begs Pope Francis to 'save our son',BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-england-merseyside-43807453,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=5, tm_sec=43, tm_wday=2, tm_yday=108, tm_isdst=0)"
46,UK inflation falls to lowest in a year,BBCUKNews,News,None,http://www.bbc.co.uk/news/business-43808716,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=10, tm_min=0, tm_sec=6, tm_wday=2, tm_yday=108, tm_isdst=0)"
47,"Cliff Richard: BBC report sparked conspiracy theories, lawyer says",BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-43810103,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=3, tm_sec=27, tm_wday=2, tm_yday=108, tm_isdst=0)"
48,Brexit: 'Windrush warning' over right-to-remain process,BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-politics-43807961,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=9, tm_min=12, tm_sec=39, tm_wday=2, tm_yday=108, tm_isdst=0)"
49,How does Tina Turner rate her own musical?,BBCUKNews,News,None,http://www.bbc.co.uk/news/entertainment-arts-42691880,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=9, tm_min=56, tm_sec=57, tm_wday=2, tm_yday=108, tm_isdst=0)"
50,Are celebrity baby Instagram accounts OK?,BBCUKNews,News,None,http://www.bbc.co.uk/news/entertainment-arts-43796526,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=14, tm_min=35, tm_sec=53, tm_wday=1, tm_yday=107, tm_isdst=0)"
51,Sarah Sellers: The nurse who was runner-up in Boston marathon,BBCUKNews,News,None,http://www.bbc.co.uk/news/world-us-canada-43794846,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=13, tm_min=42, tm_sec=22, tm_wday=1, tm_yday=107, tm_isdst=0)"
52,Picture perfect: The instant photo proposal,BBCUKNews,News,None,http://www.bbc.co.uk/news/world-us-canada-43795466,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=18, tm_min=12, tm_sec=18, tm_wday=1, tm_yday=107, tm_isdst=0)"
53,Exploring the life of a meme with American Chopper,BBCUKNews,News,None,http://www.bbc.co.uk/news/blogs-trending-43794067,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=12, tm_min=45, tm_sec=18, tm_wday=1, tm_yday=107, tm_isdst=0)"
54,Windrush generation: 'I'm an Englishman',BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-43794366,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=10, tm_min=22, tm_sec=10, tm_wday=2, tm_yday=108, tm_isdst=0)"
55,'I had no choice but to be split from my sister',BBCUKNews,News,None,http://www.bbc.co.uk/news/education-43795367,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=0, tm_min=6, tm_sec=31, tm_wday=2, tm_yday=108, tm_isdst=0)"
56,Windrush: How do you prove you've been living in the UK?,BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-43795077,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=22, tm_sec=0, tm_wday=2, tm_yday=108, tm_isdst=0)"
57,'It's not just women who sometimes regret parenthood',BBCUKNews,News,None,http://www.bbc.co.uk/news/education-43703221,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=9, tm_min=16, tm_sec=51, tm_wday=2, tm_yday=108, tm_isdst=0)"
58,The mystery of the homesick mechanic who stole a plane,BBCUKNews,News,None,http://www.bbc.co.uk/news/stories-43800089,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=1, tm_min=12, tm_sec=48, tm_wday=2, tm_yday=108, tm_isdst=0)"
59,"No girls, no entry: Is it OK for bars to turn away groups of men?",BBCUKNews,News,None,http://www.bbc.co.uk/news/uk-43785203,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=0, tm_min=10, tm_sec=49, tm_wday=2, tm_yday=108, tm_isdst=0)"
60,Why a widower ran the Boston marathon,BBCUKNews,News,None,http://www.bbc.co.uk/news/world-australia-43748452,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=15, tm_min=16, tm_sec=44, tm_wday=1, tm_yday=107, tm_isdst=0)"
61,Can you really revise while chatting online?,BBCUKNews,News,None,http://www.bbc.co.uk/news/business-43784091,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=23, tm_min=5, tm_sec=31, tm_wday=1, tm_yday=107, tm_isdst=0)"
62,Manchester City players dominate PFA team of the year,BBCUKNews,News,None,http://www.bbc.co.uk/sport/football/43810017,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=44, tm_sec=15, tm_wday=2, tm_yday=108, tm_isdst=0)"
63,Daniel Ricciardo: Chinese GP win not enough on its own to stay at Red Bull,BBCUKNews,News,None,http://www.bbc.co.uk/sport/formula1/43805228,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=23, tm_min=32, tm_sec=28, tm_wday=1, tm_yday=107, tm_isdst=0)"
64,"Obituary: Barbara Bush, social justice campaigner",BBCUKNews,News,None,http://www.bbc.co.uk/news/world-us-canada-12846090,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=23, tm_min=49, tm_sec=26, tm_wday=1, tm_yday=107, tm_isdst=0)"
65,"I was a teacher for 17 years, but I couldnt read or write",BBCUKNews,News,None,http://www.bbc.co.uk/news/stories-43700153,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=22, tm_sec=19, tm_wday=5, tm_yday=104, tm_isdst=0)"
66,Susan Kigula: The woman who freed herself and hundreds from death row,BBCUKNews,News,None,http://www.bbc.co.uk/news/stories-43739933,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=46, tm_sec=59, tm_wday=3, tm_yday=102, tm_isdst=0)"
67,Americans going abroad for illegal heroin treatment,BBCUKNews,News,None,http://www.bbc.co.uk/news/world-us-canada-43420999,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=26, tm_sec=46, tm_wday=2, tm_yday=101, tm_isdst=0)"
68,Four U.S. senators seek details on unusual cellular surveillance in D.C. area,ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/da9p840K4Ek/four-u-s-senators-seek-details-on-unusual-cellular-surveillance-in-d-c-area-idUSKBN1HP1FJ,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=8, tm_sec=7, tm_wday=2, tm_yday=108, tm_isdst=0)"
69,Airlines check some Boeing 737 engines after fatal Southwest accident,ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/fWCWqcf2GOw/airlines-check-some-boeing-737-engines-after-fatal-southwest-accident-idUSKBN1HP0QK,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=20, tm_sec=0, tm_wday=2, tm_yday=108, tm_isdst=0)"
70,Defense in Cosby's sexual assault trial to question detective for second day,ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/KBeLHenUz80/defense-in-cosbys-sexual-assault-trial-to-question-detective-for-second-day-idUSKBN1HP0VH,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=7, tm_min=57, tm_sec=19, tm_wday=2, tm_yday=108, tm_isdst=0)"
71,Former FBI chief says Trump's leadership style 'strikingly similar' to mob boss,ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/exguCKkgo_Q/former-fbi-chief-says-trumps-leadership-style-strikingly-similar-to-mob-boss-idUSKBN1HP0JO,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=5, tm_min=25, tm_sec=48, tm_wday=2, tm_yday=108, tm_isdst=0)"
72,'Angels' and training help former fighter pilot save Southwest flight,ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/OtaXJfd_eY4/angels-and-training-help-former-fighter-pilot-save-southwest-flight-idUSKBN1HP0H5,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=5, tm_min=1, tm_sec=52, tm_wday=2, tm_yday=108, tm_isdst=0)"
73,"Barbara Bush, wife and mother of U.S. presidents, dies at 92",ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/dzlrddcgcFM/barbara-bush-wife-and-mother-of-u-s-presidents-dies-at-92-idUSKBN1HO3HG,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=2, tm_min=25, tm_sec=6, tm_wday=2, tm_yday=108, tm_isdst=0)"
